DATE,CO,NO2,NOX,O3,PM10,PM25,SO2
2000-01-01,134.48888888888888,106.11232170607171,266.3549663299663,31.377988215488216,79.06375915750915,55.44097222222222,25.777090964590965
2000-01-02,120.15833333333335,73.55676961926962,227.0712962962963,25.113078703703703,57.467834249084255,48.24305555555555,13.473873348873349
2000-01-03,128.50486111111113,66.4432060994561,259.3099537037037,7.572040343915344,31.060210622710624,24.020833333333332,14.955006798756799
2000-01-04,94.0625,58.73397435897436,201.52083333333334,22.15462962962963,46.79051573426573,26.78125,15.76602564102564
2000-01-05,65.22916666666667,32.06730769230769,149.5087121212121,12.278282828282828,31.657967032967036,19.447916666666668,25.803800366300365
2000-01-06,71.77638888888889,34.231456043956044,130.32466329966329,20.809553872053872,31.664339133089133,13.222222222222221,12.919021950271949
2000-01-07,46.12222222222221,35.36195054945055,129.36098484848483,16.90757575757576,26.234508547008545,14.416666666666666,16.617521367521366
2000-01-08,102.88194444444446,53.18376068376068,215.55454545454543,11.731944444444444,32.03321678321678,18.59027777777778,24.523965617715618
2000-01-09,120.32916666666667,53.092452686202684,165.03960437710438,22.08122895622896,65.01488095238095,48.197916666666664,21.988782051282055
2000-01-10,91.64999999999999,49.77517968142968,143.65231481481482,28.189814814814813,44.554147241647236,29.510416666666668,14.521367521367521
2000-01-11,86.93541666666665,60.52612665112665,140.3935185185185,66.28712121212122,76.84273018648018,45.048611111111114,17.54232226107226
2000-01-12,140.22083333333333,93.47229506604508,258.10555555555555,34.889983164983164,88.13300796425797,59.461805555555564,31.69024864024864
2000-01-13,203.64444444444442,74.06719322344323,282.21978114478117,11.88030303030303,112.58867012617013,74.99652777777779,41.57558760683761
2000-01-14,104.37083333333334,49.45909645909646,129.46203703703705,30.242760942760942,37.88274572649573,21.586805555555557,8.046373765123766
2000-01-15,101.40694444444445,58.374351343101345,148.10631313131313,30.33787878787879,44.28922466422466,25.75,10.335855117105117
2000-01-16,137.25,70.52380952380952,170.61363636363637,29.274621212121215,68.94619963369964,50.104166666666664,20.119505494505493
2000-01-17,159.27638888888887,62.811546092796085,236.91460437710438,9.633712121212122,65.46539224664225,40.8125,20.894116300366303
2000-01-18,130.20833333333334,56.56192765567766,224.29545454545453,10.126262626262626,46.58722527472528,31.0,18.976839133089133
2000-01-19,111.90069444444445,64.0704365079365,211.16271043771044,26.52127976190476,54.87253857253858,39.885416666666664,18.104204822954824
2000-01-20,112.21111111111111,71.11838994338994,171.0585542929293,44.124454365079366,83.5005341880342,58.09027777777778,18.232575757575756
2000-01-21,87.38958333333333,67.89598595848595,173.3227272727273,43.83724747474747,61.6140873015873,36.98611111111111,13.725656288156289
2000-01-22,89.50833333333333,73.23809523809524,191.34469696969697,30.040151515151518,53.538690476190474,29.645833333333332,15.291666666666666
2000-01-23,111.83958333333334,72.62419871794872,187.20189393939393,19.72276936026936,33.86840243090243,31.930555555555557,8.961843711843711
2000-01-24,111.31944444444444,72.80589896214896,237.38278619528623,18.822348484848487,21.81945623820624,16.680555555555554,9.89709249084249
2000-01-25,131.8513888888889,53.89076548451548,210.4188973063973,14.113089225589226,25.102227055352056,19.77777777777778,14.342310467310469
2000-01-26,101.75277777777778,53.6542297979798,192.4708167989418,20.724537037037038,41.858007964257965,31.42013888888889,14.411256798756797
2000-01-27,88.51805555555556,69.2654526029526,224.36984126984126,29.826041666666665,62.43349358974359,46.91319444444445,20.18396464646465
2000-01-28,97.54166666666667,85.58707264957265,243.25462962962965,28.365277777777777,67.15346459096459,49.895833333333336,20.37232905982906
2000-01-29,120.25972222222224,101.61057692307692,284.57453703703703,28.339814814814815,88.16597985347984,62.958333333333336,26.553685897435898
2000-01-30,102.95833333333333,65.16346153846153,166.9,36.197685185185186,72.99702380952381,53.458333333333336,13.682692307692307
2000-01-31,132.77916666666667,77.40625,217.73472222222222,33.35462962962963,104.75709706959707,88.10416666666667,20.447571872571874
2000-02-01,164.64444444444445,123.96736249861249,326.97516835016836,29.952598905723907,97.43498168498168,71.34375,25.32161935286935
2000-02-02,107.15833333333335,86.0585122053872,338.6564484126984,12.556051587301587,62.35560828060829,49.489583333333336,19.06790824915825
2000-02-03,129.42777777777778,77.7706148018648,296.34502314814813,8.162268518518518,31.304258241758244,23.29513888888889,14.438811188811188
2000-02-04,85.09710144927536,53.225195094760316,104.50821256038647,49.19178743961352,47.71571906354516,25.67391304347826,6.59866220735786
2000-02-05,85.28472222222221,53.12251984126984,198.7399831649832,16.97007575757576,36.50655247530248,23.54513888888889,18.277142995892998
2000-02-06,70.6986111111111,31.95360195360195,122.37344276094275,22.366372053872055,31.066593129093132,15.819444444444445,11.413364413364413
2000-02-07,43.4375,26.449404761904763,100.58333333333333,18.198863636363637,27.064102564102566,11.899305555555555,9.08974358974359
2000-02-08,109.66111111111111,57.74199203574204,269.5716645622895,9.959612493987494,34.10638736263736,21.65625,35.31836635586635
2000-02-09,124.28888888888889,58.222707847707845,230.67222222222222,15.350347222222224,39.21295024420024,30.284722222222218,15.37995337995338
2000-02-10,87.23958333333333,48.427083333333336,135.43657407407406,29.508333333333336,40.24431818181818,25.190972222222225,23.704545454545453
2000-02-11,81.32291666666667,82.18677156177156,206.99166666666667,59.05420875420875,83.17574786324786,52.71875,21.349091880341877
2000-02-12,139.89791666666667,61.83379467754468,153.4824074074074,38.85189393939394,70.48397435897435,47.364583333333336,14.856182012432013
2000-02-13,93.15277777777777,59.62526709401709,128.54166666666666,45.62268518518518,45.25961538461539,29.15625,9.283653846153845
